Kennung;Name;" je 100 der Bevölkerung1)
(18 - 64 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Ausländer)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Ausländer)"
12302109;Treuenbrietzener Str.;2.44;8.87;3.01;7.27;1.29;29.27
12302110;Dannenwalder Weg;1.84;6.97;2.03;5.23;1.49;25.16
12302211;Lübarser Straße;1.42;2.33;1.59;2.06;0.62;7.41
12302212;Rollbergesiedlung;2.46;11.00;3.21;8.90;1.03;37.66
12304313;Borsigwalde;1.27;4.92;1.40;4.53;0.64;11.84
12304314;Ziekowstraße/Freie Scholle;1.36;4.12;1.44;3.86;0.57;11.34
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
